es,cn,pos
recepción,宾馆前台,f.
hotel,饭店、宾馆,m.
recepcionista,前台服务员,amb.
entregar,交出、交给,tr.
turista,游客,amb.
bienvenido/da,欢迎,adj.
pendiente,悬着的,adj.
subir,向上走、送上去,intr.
gritar,喊、叫,intr.
carrito,小车车,m.
equipaje,行李,m.
tuyo/ya,你的,adj.
rojo/ja,红色的,adj.
junto a,在近旁,介词短语
mío/a,我的,adj.
ahí,那里、那边,adv.
debajo de,在下面,介词短语
maletín,手提包,m.
bolso,包、袋,m.
demás,其他（人、物）,pron.
mostrador,柜台,m.
alguno/na,某位、某个,pron.
dueño/ña,主人,m.f.
oír,听见,tr.
pasar,传递,tr.
cuál,哪一个,pron.
número,号码,m.
piso,层,m.
mil,千,num.
pena,遗憾、痛苦,f.
vecino/na,邻居,m.f.
regalo,礼物,m.
viaje,旅行,m.
nieto/ta,孙子、孙女；外孙、外孙女,m.f.
niño/ña,儿童,m.f.
saltar,跳,intr.
besar,亲吻,tr.
abrir,打开,tr.
paquete,包裹,m.
camiseta,T恤,f.
verde,绿色的,adj.
azul,蓝色的,adj.
marrón,棕色的,adj.
color,颜色,m.
amarillo/lla,黄色的,adj.
dentro,在里面,adv.
cuidado,小心,m.
romper,打破,tr.
juguete,玩具,m.
bonito/ta,好看的,adj.
dar,给,tr.
cariño,喜爱,m.
beso,吻,m.
al lado de,在...旁边,loc.adv.
bajar,向下走,tr.
blanco/ca,白色的,adj.
café,咖啡色,adj.
encima de,在...上面,介词短语
feo/a,难看、丑,adj.
gris,灰色的,adj.
naranja,橙色的,adj.
negro/gra,黑色的,adj.
