es,cn,pos
invitar,邀请,tr.
cenar,吃晚饭,intr.
adónde,（到、去）哪里,adv.
tanto/ta,如此的、那么的,adj.
prisa,急、匆忙,f.
comprar,购买,tr.
temer,担心、害怕,tr.
llegar,到达,intr.
tienda,商店,f.
cerrar,关闭,tr.
poder,能够,tr.
mañana,明天,adv.
hoy,今天,adv.
cumpleaños,生日,m.
querer,喜欢、喜爱、爱,tr.
felicitación,祝贺,f.
alegrar(se),使高兴、高兴,tr.prnl.
celebrar,举办、庆祝,tr.
dieciocho,十八,num.
diecinueve,十九,num.
como,正如、正像、由于,conj.
un poco,一点儿,loc.adv.
casi,几乎,adv.
edad,年龄,f.
restaurante,饭馆,m.
entrar,进入,intr.
allá,那边,adv.
mesa,桌子,f.
libre,空闲的,adj.
sentarse,坐下,prnl.
parecer,觉得、认为,intr.
camarero/ra,餐厅服务员,m.f.
carta,菜单,f.
por favor,请、劳驾,
recomendar,推荐,tr.
sopa de marisco,海鲜汤,
pedir,要、要求,tr.
de segundo,第二道（菜）,
carne,肉,f.
pescado,鱼,m.
ensalada,沙拉,f.
verdura,蔬菜,f.
idea,主意,f.
beber,喝,tr.intr.
vino,葡萄酒,m.
botella,瓶,f.
cómo no,当然可以,
tinto/ta,深红色的,adj.
agua mineral,矿泉水,f.
postre,甜点,m.
o,或者、还是,conj.
invitación,邀请,f.
de nada,不客气、不用谢,
placer,荣幸、高兴,m.
cumplir,满（多少岁）、履行,tr.
compañero/ra,同学、同伴,m.f.
empezar,开始,tr.intr.
ayudar,帮助,tr.
cuarto,一刻钟、15min, m.
primero/ra,第一批的,adj.
invitado/da,客人,m.f.
recibir,迎接、接待,tr.
felicitar,祝贺,tr.
feliz,幸福,adj.
pronto,过早、很快,adv.
ponerse a + inf.,开始做某事,
charlar,交谈,intr.
plato,菜、盘子,m.
sabroso/sa,好吃的、有滋味的,adj.
todo el mundo,所有人、全世界,
copa,酒杯,f.
brindar,敬酒、祝酒,tr.
