es,cn,pos
novela,小说,f.
escritor/ra,作家,m.f.
gustar,使...喜欢,intr.
encantar,使...着迷,intr.
estilo,风格,m.
moderno/na,现代的,adj.
mirar,看,tr.
mediodía,中午,m.
recoger,收起、拾起,tr.
meter,装进、塞进,tr.
mochila,双肩书包,f.
hambre,饥饿,f.
sed,口渴,f.
por casualidad,偶然、凑巧,loc.adv.
botella,瓶子,f.
coger,拿起,tr.
cafetería,咖啡馆,f.
cerca,近,adv.
pequeño/ña,小的,adj.
limpieza,扫除,f.
acabar de + inf.,刚刚做某事,动词短语
fiesta,聚会、节日,f.
despedirse(de),告别、辞别、送别,prnl.
encontrar,找到、遇到,tr.
sucio/cia,脏的,adj.
desarreglado/da,乱七八糟的,adj.
suciedad,脏（的状况）,f.
ni,y的否定形式,conj.
desorden,无秩序,m.
retirar,撤下、拿走,tr.
vaso,杯子,m.
lavar,清洗,tr.
libro,书,m.
periódico,报纸,m.
revista,杂志,f.
poner,放,tr.
estantería,架子、书架,f.
trapo,抹布,m.
mojado/da,湿的,p.p.
fregar,擦,tr.
silla,椅子,f.
cuando,当...时候,conj.
escoba,扫帚,f.
barrer,扫,tr.
por último,最后,loc.adv.
sacar,取出,tr.
fregona,墩布,f.
pasar,过（时间/空间/通过考试/经过）,tr.
suelo,地面,m.
limpio/pia,干净,adj.
arreglado/da,整理好的,p.p.
sentirse,感觉,prnl.
sofá,沙发,m.
justo,恰好,adv.
momento,时候,m.
alguien,有人,pron.
puerta,门,f.
