es,cn,pos
por qué,为什么,adv.
hablar,谈论,intr.
más,更多地,adv.
vida,生活,f.
Yolanda,约岚达,女子名
España,西班牙,国家名
casualidad,偶然性,f.
alegría,欢乐，欣喜,f.
volver a + inf. ,再一次，重新,动词短语
ver,看见,tr.
te,你（第二人称单数宾格、与格代词）,pron.
qué,什么,pron.
hacer,做，干,tr.
por,在...  为了...,prep.
aquí,这里,adv.
venir,来,intr.
curso,学年，教程,m.
verano,夏天,m.
organizar,组织,intr.
"estos,as",这些,adj.
año,年,m.
medio,半,adj.
doctorado,博士学位,m.
sin,没有,prep.
saber,知道,tr.
"lo,la",您（他，她，它）（第三人称单数宾格代词）,pron.
en realidad,实际上,loc.adv.
haber,有,v.imp.
decir,说,tr.
lo mismo,同样的事情,
en punto,整点,loc.adv.
comedor,饭厅，食堂,m.
comenzar,开始,tr. intr.
nueve,九,num.
leer,读，看，阅读,tr. intr.
repasar,复习,tr.
lección,功课,f.
"estudiado,da",学过的,p.p
prepararse,准备,prnl.
"nuevo,va",新,adj.
ocho,八,num.
salir,离开,intr.
residencia,公寓,f.
facultad,（院）系,f.
metro,地铁,m.
horario,作息时间,m.
"apretado,da",挤压的，紧凑的,adj.
eso,那,pron.
antes de,在...之前,loc.adv.
jornada,工作日,f.
real,真正的,adj.
al mediodía,中午,loc.adv.
almorzar,吃午饭,intr.
campus,大学校园,m.
quedarse,呆，留在,prnl.
biblioteca,图书馆,f.
casi,几乎,adv.
"universitario,ria",大学的,adj.
si,如果,conj.
nos,我们（第一人称复数宾格、与格代词）,pron.
quedar,剩下，还有,intr.
algo,一点，一些,pron.
apenas,几乎没有，几乎不,adv.
respirar,呼吸,tr. intr.
almuerzo,午餐,m.
descansar,休息,intr.
hora,小时,f.
por la tarde,下午,
deporte,运动,m.
por la noche,晚上,
trabajo de casa,作业,
acostarse,上床睡觉,prnl.
once,十一,num.
estudiantil,学生的,adj.
aunque,虽然,conj.
terminar,结束,tr.
"cansado,da",累的，疲劳的,adj.
