es,cn,pos
casa,家、房子,f.
Juan,胡安,男子名
habitación,房间,f.
Lima,利马,城市名
Perú,秘鲁,国家名
familia,家庭,f.
vivir,住、生活,intr.
padre,父亲,m.
"médico,ca",医生,m. f.
hospital,医院,m.
madre,母亲,m.
inglés,英语,m.
colegio,小学,m.
"hermano,na",兄弟、姐妹,m. f.
menor,年纪较小的,adj.
ir,去,intr.
"abuelo,la",祖父母、外祖父母,m. f.
ya,已经、好了,adv.
mayor,年纪大的,adj.
bachillerato,高中,m.
secundaria,中学,f.
levantarse,起床,prnl.
temprano,早,adv.
bañarse,泡澡,prnl.
cepillarse,刷洗,prnl.
diente,牙,m.
peinarse,梳头,prnl.
después de,在...之后,loc.adv.
desayunar,吃早饭,intr.
primero,首先,adv.
llevar,送去、带去,tr.
escuela,学校,f.
luego,之后,adv.
tomar,拿、乘坐,tr.
autobús,公共汽车,m.
para,为了,prep.
instituto,中学,m.
centro,中心,m.
estudio,学习、研究,m.
por la mañana,上午,loc.adv.
por eso,因此,conj.
regresar,回、返回,intr.
tarde,晚,adv.
"cuánto,ta",多少,adj. pron.
"señor,ra",先生、女士,m. f.
José,何塞,男子名
parecer,好像,intr.
grande,大,adj.
ciudad,城市,f.
bastante,相当地,adv.
allí,那里,adv.
con,和、用,prep.
verdad,真实,f.
siete,七,num.
suponer,设想、猜测,tr.
sala de estar,客厅,
dormitorio,卧室,m.
cocina,厨房,f.
cuarto de baño,卫生间,m.
todavía,仍然、还,adv.
qué ,多么,adj.
tan,如此地,adv.
"recargado,da",繁重的,adj.
tiempo,时间,m.
cinco,五,num.
"hijo,ja",儿子、女儿,m. f.
"primo,ma",（堂、表）兄弟姐妹,m. f.
seis,六,num.
"sobrino,na",外甥、侄子；外男女、侄女,m. f.
"tío,a",伯、叔、舅；姑、姨、婶,m. f.
