es,cn,pos
cómo,怎么,adv.
llamarse,叫...名字,prnl.
Ana,安娜,女子名
hola,你好,interj.
bueno/na,好,adj.
día,天,m.
buenos días,早上好,问候固定短语
Paco,帕科,男子名
yo,我,pron.
ser,是,v.cop.
y,和、与,conj.
tú,你,pron.
ellos,他们,pron.
mi,我的,adj.
amigo/ga,朋友,m. f.
ella,她,pron.
Susana,苏萨娜,女子名
él,他,pron.
Tomás,托马斯,男子名
ustedes,诸位,pron.
español/la,西班牙人,m. f.
cubano/na,古巴人,m. f.
chileno/na,智利人,m. f.
encantado/da,很高兴,p.p
de,表示所属、来源等关系,prep.
conocer,认识、了解,tr.
los/las,诸位、他们、她们、它们 第三人称复数宾格代词,pron.
mucho gusto,很高兴认识你、您、你们、诸位,礼貌问候固定短语
usted,您,pron.
profesor/ea,教师,m. f.
sí,是的、对,adv.
chino,汉语、中文,m.
nuestro/ta,我们的,adj.
entonces,那么,adv.
su,您的、诸位的、他的、他们的、她的、她们的,adj.
alumno/na,学生,m. f.
quién/es,谁、哪几位,pron.
el,单数阳性定冠词,art.
chico/ca,小伙子、小姑娘,m. f.
mexicano/na,墨西哥人,m. f.
México,墨西哥,国家名
chino/na,中国人,m. f.
las,复数阴性定冠词,art.
dos,二、两个,num.
estudiante,学生,m. f.
esos/as,那些,adj.
joven,青年人,m. f.
ellos/llas,他们、她们、它们,pron.
ese/sa,那个,adj.
Manolo,马诺罗,男子名
no,不、不是,adv.
panameño/ña,巴拿马人,m. f.
Elena,艾蕾娜,女子名
novio/via,情侣、朋友,m. f.
solo,只是,adv.
